Wavelength (nm),Sum,Ca I (1.7e-02),Ca II (8.9e-01),Ca III (9.1e-02)
350.26,6.960e-2,6.960e-2,,
350.31,1.986e-2,1.986e-2,,
350.36,5.442e-3,5.442e-3,,
350.41,1.431e-3,1.431e-3,,
350.46,3.610e-4,3.610e-4,,
350.51,8.741e-5,8.741e-5,,
350.56,2.031e-5,2.031e-5,,
350.61,4.531e-6,4.531e-6,,
350.66,9.698e-7,9.698e-7,,
350.71,1.992e-7,1.992e-7,,
350.76,3.928e-8,3.928e-8,,
350.81,7.433e-9,7.433e-9,,
350.86,1.350e-9,1.350e-9,,
351.66,2.422e-19,,,2.422e-19
351.71,1.292e-18,,,1.292e-18
351.76,6.619e-18,,,6.619e-18
351.81,3.259e-17,,,3.259e-17
351.86,1.542e-16,,,1.542e-16
351.91,7.007e-16,,,7.007e-16
351.96,3.060e-15,,,3.060e-15
352.01,1.284e-14,,,1.284e-14
352.06,5.177e-14,,,5.177e-14
352.11,2.006e-13,,,2.006e-13
352.16,7.465e-13,,,7.465e-13
352.21,2.670e-12,,,2.670e-12
352.26,9.175e-12,,,9.175e-12
352.31,3.030e-11,,,3.030e-11
352.36,9.611e-11,,,9.611e-11
352.41,2.930e-10,,,2.930e-10
352.46,8.581e-10,,,8.581e-10
352.51,2.415e-9,,,2.415e-9
352.56,6.530e-9,,,6.530e-9
352.61,1.697e-8,,,1.697e-8
352.66,4.235e-8,,,4.235e-8
352.71,1.016e-7,,,1.016e-7
352.76,2.341e-7,,,2.341e-7
352.81,5.185e-7,,,5.185e-7
352.86,1.103e-6,,,1.103e-6
352.91,2.255e-6,,,2.255e-6
352.96,4.430e-6,,,4.430e-6
353.01,8.361e-6,,,8.361e-6
353.06,1.516e-5,,,1.516e-5
353.11,2.642e-5,,,2.642e-5
353.16,4.423e-5,,,4.423e-5
353.21,7.116e-5,,,7.116e-5
353.26,1.100e-4,,,1.100e-4
353.31,1.633e-4,,,1.633e-4
353.36,2.331e-4,,,2.331e-4
353.41,3.196e-4,,,3.196e-4
353.46,4.210e-4,,,4.210e-4
353.51,5.329e-4,,,5.329e-4
353.56,6.481e-4,,,6.481e-4
353.61,7.574e-4,,,7.574e-4
353.66,8.504e-4,,,8.504e-4
