obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""184.3117""","=""0.0006""","=""184.31079""","=""0.00007""","=""20""","=""""",,"=""14959.876""","=""69216.059""","=""3d6""","=""a 5D""","=""0""","=""3d5.(4P).4p""","=""z 3P*""","=""1""",,"=""""","=""L562""",
"=""184.3505""","=""0.0006""","=""184.34981""","=""0.00014""","=""100""","=""""",,"=""31514.71""","=""85759.41""","=""3d6""","=""a 3F""","=""4""","=""3d5.(a 2G).4p""","=""1G*""","=""4""",,"=""""","=""L562""",
"=""184.378""","=""0.0015""","=""184.3770""","=""0.0007""","=""1""","=""""",,"=""55371.693""","=""109608.4""","=""3d4.4s2""","=""c 5D""","=""3""","=""3d4.(b 3F).4s.4p.(3P*)""","=""v 5D*""","=""4""",,"=""""","=""L562""",
"=""184.394""","=""0.0015""","=""184.39434""","=""0.00020""","=""20""","=""""",,"=""37851.49""","=""92083.09""","=""3d6""","=""a 3D""","=""3""","=""3d5.(b 2F).4p""","=""u 3D*""","=""3""",,"=""""","=""L562""",
"=""184.4086""","=""0.0018""","=""184.40661""","=""0.00014""","=""50*""","=""""",,"=""31761.21""","=""85989.20""","=""3d6""","=""a 3F""","=""2""","=""3d5.(4F).4p""","=""3F*""","=""2""",,"=""""","=""L562""",
"=""184.4086""","=""0.0018""","=""184.4081""","=""0.0007""","=""50*""","=""""",,"=""55116.333""","=""109343.9""","=""3d4.4s2""","=""c 5D""","=""2""","=""3d4.(b 3F).4s.4p.(3P*)""","=""v 5D*""","=""2""",,"=""""","=""L562""",
"=""184.4794""","=""0.0006""","=""""","=""""","=""20""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L562""",
"=""184.529""","=""0.002""","=""184.52840""","=""0.00014""","=""30*""","=""""",,"=""27588.53""","=""81780.73""","=""3d5.(4G).4s""","=""a 5G""","=""3""","=""3d5.(4F).4p""","=""y 5G*""","=""3""",,"=""""","=""L562""",
"=""184.529""","=""0.002""","=""184.53085""","=""0.00014""","=""30*""","=""""",,"=""31761.21""","=""85952.69""","=""3d6""","=""a 3F""","=""2""","=""3d5.(4F).4p""","=""3F*""","=""3""",,"=""""","=""L562""",
"=""184.551""","=""0.0015""","=""184.55030""","=""0.00014""","=""40""","=""""",,"=""34910.77""","=""89096.54""","=""3d6""","=""b 3G""","=""4""","=""3d5.(a 2G).4p""","=""3G*""","=""4""",,"=""""","=""L562""",
